Uid	User_Id	Feature	Comment	Sentiment	Pos	Neg	Nut
0	76561198131850264	Plot	"         Good story line."	Positive	0.9835019	0.0008717253	0.01562642
1	76561197989188090	Plot	"good game, short story."	Positive	0.8139623	0.005775366	0.1802624
2	76561198045106476	Plot	"good game, baaaaaaaaaad ending"	Positive	0.6866536	0.01397963	0.2993668
3	76561198084827788	Plot	"Really good story line!"	Positive	0.997389	0.0001630285	0.002447958
4	76561198304586561	Plot	"I LOVE the story."	Positive	0.9949695	0.0002752698	0.004755137
5	76561198010134542	Plot	"The story in general is pretty cool."	Positive	0.9772993	0.0009103895	0.02179025
6	76561198049100668	Plot	"It's a good story."	Positive	0.9923124	0.0004793528	0.007208306
7	76561198146753933	Plot	"Amazing story (imo :P)"	Positive	0.9938273	0.0002301377	0.005942428
8	76561197968887907	Plot	"I liked the story."	Positive	0.9881735	0.000785728	0.01104081
9	76561198095440791	Plot	"Amazing story line"	Positive	0.9892353	0.0008281612	0.009936467
10	76561198308668117	Plot	"Great story and characters."	Positive	0.9981541	8.335189E-05	0.00176259
11	76561198041548003	Plot	"-Great story and characters"	Positive	0.9940831	0.0002236806	0.005693153
12	76561197972711079	Plot	"I love the guns and story."	Positive	0.9925477	0.0003404121	0.007111999
13	76561198008820973	Plot	"DLCs seem interesting."	Positive	0.9032762	0.0142455	0.08247825
14	76561197990417222	Plot	"Love the environment and the story."	Positive	0.9952414	0.0001826393	0.004575966
15	76561198080018751	Plot	"Very well done."	Positive	0.9908254	0.001046307	0.008128297
16	76561198057933122	Plot	"I love the story line and the enviroment."	Positive	0.9972241	4.595091E-05	0.002729965
17	76561198043265574	Plot	"-Great story opeing"	Positive	0.8749721	0.0007782452	0.1242496
18	76561198080739592	Plot	"Funny, memorable characters"	Positive	0.9836746	0.001166838	0.01515852
19	76561198055854858	Plot	"+ great story with loveable characters."	Positive	0.9983353	3.675564E-05	0.001627971
20	76561198117248727	Plot	"Amazing story and characters."	Positive	0.9983613	7.171421E-05	0.00156692
21	76561198199583438	Plot	"Story is wrote very well."	Positive	0.985024	0.0008896085	0.01408641
22	76561198073400078	Plot	"-very interesting villain(?)"	Neutral	0.2919186	0.02824704	0.6798344
23	76561198074991600	Plot	" [*] Very good story."	Positive	0.9825848	0.000588003	0.01682724
24	76561198144594773	Plot	"Great story (for me)."	Positive	0.9928745	0.0004482072	0.00667731
25	76561198237477016	Plot	"The charactars are really memorable."	Positive	0.9625167	0.004106267	0.03337711
26	76561198087423494	Plot	"Story is interesting so far"	Positive	0.9821647	0.000457612	0.01737771
27	76561198114396037	Plot	"+Great Story progression"	Positive	0.9845839	0.0001814856	0.01523471
28	76561197985582957	Plot	"Great story and game play."	Positive	0.9980397	7.049784E-05	0.001889818
29	76561197972884851	Plot	"- Interesting and emotional story"	Positive	0.9338711	0.001502362	0.06462661
30	76561198318531112	Plot	"Story 9/10 (Best Story after FARCRY 3)"	Neutral	0.1421427	0.001032934	0.8568243
31	76561198053530526	Plot	"great story (so far)."	Positive	0.9968463	0.0001520624	0.003001538
32	76561197984157194	Plot	"The story is what shines through."	Positive	0.943933	0.01069438	0.04537255
33	76561198353716660	Plot	"The best intro in game history!"	Positive	0.960857	0.0002415419	0.03890147
34	76561198022085812	Plot	"- Amazing Plot & Story!"	Positive	0.9983667	0.0001096521	0.001523769
35	76561198136250152	Plot	"Nice story line"	Positive	0.9838955	0.00136251	0.01474188
36	76561198008820973	Plot	"Thanks fo reading !"	Positive	0.9214134	0.001924639	0.07666205
37	76561197995008105	Plot	"Story again is awesome."	Positive	0.9922382	0.0003524458	0.007409248
38	76561198043668942	Plot	"its a unique ending ill give it that,"	Positive	0.8308427	0.01262776	0.1565296
39	76561197994889224	Plot	"* Villains are quite interesting"	Positive	0.527079	0.03686788	0.436053
40	76561198097709136	Plot	"Interesting story line"	Positive	0.8805544	0.004156203	0.1152894
41	76561198061332442	Plot	"Good story idea."	Positive	0.9774367	0.0008899989	0.0216734
42	76561198028886412	Plot	"+ Story is great."	Positive	0.9945722	0.0001637691	0.005264126
43	76561198053152287	Plot	"• The Story-line is enjoyable."	Positive	0.9656491	0.001085198	0.0332658
44	76561198019588704	Plot	"Very well optomized"	Positive	0.918789	0.003155206	0.07805575
45	76561198205018093	Plot	"Story 10/10 One of the best stories i have ever played."	Positive	0.9884745	0.0004243697	0.01110109
46	76561198110359547	Plot	"The cutscenes were very well done."	Positive	0.9896549	0.001298306	0.009046783
47	76561197997777545	Plot	"4. story still heavily focused on drugs and hallucinations."	Neutral	0.3197206	0.1064794	0.5738001
48	76561198242463896	Plot	"-Best Story (so far)"	Positive	0.9479359	0.001090364	0.05097365
49	76561198084051373	Plot	"+Sense of importance within the story"	Positive	0.7269948	0.006129223	0.266876
50	76561198106326877	Plot	"Story: 8.0/10 (Good)"	Neutral	0.434605	0.006428563	0.5589665
51	76561198010370742	Plot	"The Story - Very engaging."	Positive	0.9943706	0.0003630097	0.00526634
52	76561197984641101	Plot	"I LOVE the main story and the chaos around it."	Positive	0.9857224	0.0009512232	0.01332635
53	76561198013454695	Plot	"Story:  I think its awesome."	Positive	0.9784669	0.0006665984	0.02086646
54	76561198088297191	Plot	"The story fits well, too."	Positive	0.9955343	0.0002645442	0.004201203
55	76561198229501592	Plot	"Really enjoy the story so far."	Positive	0.9988157	8.668034E-05	0.001097708
56	76561198059947468	Plot	"[tr][td][i]Texts[/i][/td][td] 8/10[/td][td][i]Fresh setting & plot"	Neutral	0.06145538	0.001198085	0.9373465
57	76561198055854858	Plot	"Everyone of them has their unique story and feeling to them."	Positive	0.9465309	0.002617708	0.05085141
58	76561198125969197	Plot	"Main antagonists are very well done"	Positive	0.9359801	0.005360032	0.05865981
59	76561198027209625	Plot	"[*]New and interesting setting"	Neutral	0.4164317	0.002246219	0.581322
60	76561198050684944	Plot	"+ Interesting story and NPC characters / villains"	Positive	0.8452032	0.02296612	0.1318307
61	76561198013454695	Plot	"Main Antagonist:  Awesome."	Positive	0.9306678	0.006508724	0.06282339
62	76561198049828806	Plot	"The story was perfect."	Positive	0.9915068	0.0005796396	0.007913595
63	76561198207595920	Plot	"• Optimised very well"	Positive	0.8298984	0.0240705	0.1460312
64	76561198243431148	Plot	"+Compelling story and antagonist"	Positive	0.9784849	0.003458448	0.01805677
65	76561198048134988	Plot	"It's Main Villian is almost as great as Vaas."	Positive	0.9572791	0.001917896	0.040803
66	76561198046343425	Plot	"Great Game Great Story"	Positive	0.9978955	6.523795E-05	0.002039412
67	76561198037416230	Plot	"very good ending"	Positive	0.9823738	0.002779069	0.01484705
68	76561198317783410	Plot	"-Good story so far"	Positive	0.9822899	0.0005033128	0.01720691
69	76561198070075906	Plot	"story is great so far"	Positive	0.9976266	8.000848E-05	0.002293285
70	76561198099444114	Plot	"Love the playstyle and story."	Positive	0.9938378	0.0002520706	0.005910079
71	76561198230214224	Plot	"The story, I think it is good"	Positive	0.9746246	0.0009595808	0.02441581
72	76561198042588557	Plot	"Every quest is interesting and different"	Positive	0.6580932	0.01291633	0.3289905
73	76561198000019953	Plot	"The Ending: I must say."	Neutral	0.4100657	0.03825123	0.551683
