Uid	Term	Term_Score
0	all	100
0	story	59.94361
1	all	100
1	story	59.94361
2	all	100
2	ending	71.2765
3	all	100
3	story	59.94361
4	all	100
4	story	59.94361
5	all	100
5	story	59.94361
6	all	100
6	story	59.94361
7	all	100
7	story	59.94361
8	all	100
8	story	59.94361
9	all	100
9	story	59.94361
10	all	100
10	characters	59.46443
10	story	59.94361
11	all	100
11	characters	59.46443
11	story	59.94361
12	all	100
12	story	59.94361
13	all	100
14	all	100
14	story	59.94361
15	all	100
16	all	100
16	story	59.94361
17	all	100
17	story	59.94361
18	all	100
18	characters	59.46443
19	all	100
19	characters	59.46443
19	story	59.94361
20	all	100
20	characters	59.46443
20	story	59.94361
21	all	100
21	story	59.94361
22	all	100
23	all	100
23	story	59.94361
24	all	100
24	story	59.94361
25	all	100
26	all	100
26	story	59.94361
27	all	100
27	story	59.94361
28	all	100
28	story	59.94361
29	all	100
29	story	59.94361
30	all	100
30	farcry	56.10805
30	story	59.94361
31	all	100
31	story	59.94361
32	all	100
32	story	59.94361
33	all	100
34	all	100
34	story	59.94361
34	plot	71.51877
35	all	100
35	story	59.94361
36	all	100
37	all	100
37	story	59.94361
38	all	100
38	ending	71.2765
39	all	100
39	villains	54.16332
40	all	100
40	story	59.94361
41	all	100
41	story	59.94361
42	all	100
42	story	59.94361
43	all	100
43	story	59.94361
44	all	100
45	all	100
45	story	59.94361
46	all	100
47	all	100
47	story	59.94361
48	all	100
48	story	59.94361
49	all	100
49	story	59.94361
50	all	100
50	story	59.94361
51	all	100
51	story	59.94361
52	all	100
52	story	59.94361
53	all	100
53	story	59.94361
54	all	100
54	story	59.94361
55	all	100
55	story	59.94361
56	all	100
56	plot	71.51877
57	all	100
57	story	59.94361
58	all	100
59	all	100
60	all	100
60	characters	59.46443
60	villains	54.16332
60	story	59.94361
61	all	100
62	all	100
62	story	59.94361
63	all	100
64	all	100
64	story	59.94361
65	all	100
66	all	100
66	story	59.94361
67	all	100
67	ending	71.2765
68	all	100
68	story	59.94361
69	all	100
69	story	59.94361
70	all	100
70	story	59.94361
71	all	100
71	story	59.94361
72	all	100
72	quest	57.51136
73	all	100
73	ending	71.2765
74	all	100
74	story	59.94361
75	all	100
75	villains	54.16332
76	all	100
76	far cry series	10.18036
76	story	59.94361
77	all	100
77	story	59.94361
78	all	100
79	all	100
79	story	59.94361
80	all	100
80	story	59.94361
81	all	100
81	story	59.94361
82	all	100
82	story	59.94361
83	all	100
83	story	59.94361
84	all	100
85	all	100
85	characters	59.46443
85	story	59.94361
86	all	100
86	story	59.94361
86	cry	55.77016
87	all	100
87	story	59.94361
88	all	100
88	story	59.94361
89	all	100
90	all	100
91	all	100
91	story	59.94361
91	cry	55.77016
92	all	100
93	all	100
93	characters	59.46443
93	story	59.94361
94	all	100
94	story	59.94361
95	all	100
95	story	59.94361
96	all	100
96	story	59.94361
97	all	100
97	story	59.94361
98	all	100
98	story	59.94361
98	cry	55.77016
99	all	100
100	all	100
100	characters	59.46443
101	all	100
101	ending	71.2765
102	all	100
102	story	59.94361
103	all	100
103	story	59.94361
104	all	100
104	story	59.94361
105	all	100
105	ending	71.2765
106	all	100
106	story	59.94361
107	all	100
107	ending	71.2765
108	all	100
108	story	59.94361
109	all	100
109	graphics	50.62688
109	story	59.94361
