Uid	User_Id	Feature	Comment	Sentiment	Pos	Neg	Nut
0	amzn1.account.AECBZTBIYYEAVF4EE3N4GLI4JQMQ	Display Clarity	"Amazing screen, easy to use and comfortable to hold."	Positive	0.9998235	2.741451E-06	0.0001737476
1	amzn1.account.AHPDFE34G2ACOFKUS75Y23D6V7IA	Display Clarity	"Very convenient and the screen is super comfortable to read!"	Positive	0.9997187	1.57055E-05	0.0002655448
2	amzn1.account.AHOY3I5QU3EJ56QLMBKMLV4OYFEA	Display Clarity	"Sharp clear text with many adjustable settings from font to text size to brightness of the light etc."	Positive	0.9873989	0.0006910333	0.01191008
3	amzn1.account.AGT6I27SZB3EZZA22G4AAZLLMTXQ	Display Clarity	"Screen looks exactly like a book so it’s easy to read."	Positive	0.9763311	0.003509409	0.0201595
4	amzn1.account.AFDX5XSEXC7XAVMOTYARERJ7EUAQ	Display Clarity	"Fantastic screen, clear and easy to read."	Positive	0.9998181	2.466616E-06	0.0001794689
5	amzn1.account.AEVCQC3WEEJYJ2CKX72HC3ZBIQDA	Display Clarity	"The new font is easy on the eyes"	Positive	0.9943322	0.0002469012	0.005420878
6	amzn1.account.AFHUN7UHHXU66CNKIKAWEEXJASHA	Display Clarity	"Backlight is perfect as it is adjustable."	Positive	0.9977011	4.381363E-05	0.002255237
7	amzn1.account.AGT6I27SZB3EZZA22G4AAZLLMTXQ	Display Clarity	"Backlight is good and has good range for brightness."	Positive	0.998278	0.0001873972	0.001534522
8	amzn1.account.AENB4HBS3EFSP77EAW2XB5AZEQNA	Display Clarity	"Clear Display, light, feels comfortable and long battery life."	Positive	0.9963694	8.759007E-05	0.003543073
9	amzn1.account.AEEMGBRZTAV6RIPPYW7KQQECLHZA	Display Clarity	"Bought this for my wife and she loves  especially the new back lit screen"	Positive	0.9955558	0.000120782	0.004323397
10	amzn1.account.AGGFOKOUDDQIQX6F44AC5SEIUE7Q	Display Clarity	"Love my kindle- was glad I went with the lit screen"	Positive	0.9970326	0.0001836494	0.002783768
11	amzn1.account.AE4YD76VHHTGJZMJ6QSOTY7UGWDA	Display Clarity	"Lightweight, bright, lighted display."	Positive	0.8920758	0.002193747	0.1057304
12	amzn1.account.AGHEAHE5OPAI5E4TV72BN3OTBOGA	Display Clarity	"Crisp screen, adjustable font size and back lighting, easy to use, long battery life, and lots of storage space."	Positive	0.9973167	2.756555E-05	0.002655715
13	amzn1.account.AHWCIZLBHTCZIVCUM7K5RWVMP7MA	Display Clarity	"Its light weight, easy to navigate using touch screen, fast access to library and amazon store."	Positive	0.997667	0.0002164189	0.002116584
14	amzn1.account.AFTKD4MLEDGTNPGCM6YTB5RNYWAA	Display Clarity	"Perfect size, and the backlight is a big plus."	Positive	0.99938	1.34811E-05	0.0006065062
15	amzn1.account.AGOPGYAIC6D7DFQUPLAJUONTJEJQ	Display Clarity	"The backlight is great for dark area or night time reading."	Positive	0.9893636	0.0006706538	0.009965742
16	amzn1.account.AGBYIETAT6ONOBT7GVHR3SAX5JUQ	Display Clarity	"No regret in purchasing this new Kindle as it is lighter and has an adjustable and sharper looking backlit screen for reading in all lighting conditions."	Positive	0.9959018	0.0003561578	0.003742086
17	amzn1.account.AEFFM6T4AKGTTMJIPKA7GQX4QEZQ	Display Clarity	"I love the built in screen light."	Positive	0.9984826	3.469492E-05	0.001482841
18	amzn1.account.AHRCZYQ5NUM5GAQ22VYYZZ2ROHTQ	Display Clarity	"No glare and the lighting is awesome."	Positive	0.9952092	0.0004416839	0.004349063
19	amzn1.account.AFAODNSMT6MM47HNV4PKWUTBYG6A	Display Clarity	"the screen is great and performance is definitely very different from the old one."	Positive	0.9942734	0.0005667884	0.005159841
20	amzn1.account.AEQAPTWEVHP47QDFAIGNPPBW2NZA	Display Clarity	"Screen is easy on eyes and to read."	Positive	0.9973223	0.0002408621	0.002436895
21	amzn1.account.AE3P76F4ZEDAQ44PI26QT3JX4XBQ	Display Clarity	"My eyes are not perfect and the Kindle Paperwhite  helps me read along with the adjustable resolution."	Positive	0.9469868	0.01131792	0.04169531
22	amzn1.account.AH5225ENFSSTZRJ2HPNGVVMQVONQ	Display Clarity	"Large enough screen, and good backlight."	Positive	0.9636242	0.002241616	0.03413421
23	amzn1.account.AFNUGP5YPCOLUOABQCOHDBIGPTDQ	Display Clarity	"Like that it is compact, has built in light, non glare screen."	Positive	0.9844322	0.0007470102	0.01482078
24	amzn1.account.AFOLRFM6ZBKBJH74S64QTYDX3BDA	Display Clarity	"I love that I can read in the dark or the sunlight."	Positive	0.9988366	4.947387E-05	0.001113921
25	amzn1.account.AGBYIETAT6ONOBT7GVHR3SAX5JUQ	Display Clarity	"The touchscreen feels responsive and quite useful for passages or definitions, and the menus and options are well laid out making this E-book easy to use."	Positive	0.9997582	2.567589E-05	0.0002161504
