User_Id	Pos	Neg	Nut	Total
amzn1.account.AECBZTBIYYEAVF4EE3N4GLI4JQMQ	0.9998235	2.741451E-06	0.0001737476	2
amzn1.account.AHPDFE34G2ACOFKUS75Y23D6V7IA	0.9997187	1.57055E-05	0.0002655448	1
amzn1.account.AHOY3I5QU3EJ56QLMBKMLV4OYFEA	0.9594569	0.005391011	0.03515211	6
amzn1.account.AGT6I27SZB3EZZA22G4AAZLLMTXQ	0.9896162	0.00132134	0.009062416	3
amzn1.account.AFDX5XSEXC7XAVMOTYARERJ7EUAQ	0.995563	0.0008820844	0.00355502	2
amzn1.account.AEVCQC3WEEJYJ2CKX72HC3ZBIQDA	0.9943322	0.0002469012	0.005420878	2
amzn1.account.AFHUN7UHHXU66CNKIKAWEEXJASHA	0.9938023	0.0004600938	0.00573767	4
amzn1.account.AENB4HBS3EFSP77EAW2XB5AZEQNA	0.6897772	0.2523186	0.05790418	3
amzn1.account.AEEMGBRZTAV6RIPPYW7KQQECLHZA	0.9955558	0.000120782	0.004323397	1
amzn1.account.AGGFOKOUDDQIQX6F44AC5SEIUE7Q	0.9826841	0.003373695	0.01394227	2
amzn1.account.AE4YD76VHHTGJZMJ6QSOTY7UGWDA	0.8836555	0.03222506	0.08411937	6
amzn1.account.AGHEAHE5OPAI5E4TV72BN3OTBOGA	0.9973167	2.756555E-05	0.002655715	1
amzn1.account.AHWCIZLBHTCZIVCUM7K5RWVMP7MA	0.8979661	0.02042249	0.0816114	3
amzn1.account.AFTKD4MLEDGTNPGCM6YTB5RNYWAA	0.5338325	0.001807909	0.4643596	2
amzn1.account.AGOPGYAIC6D7DFQUPLAJUONTJEJQ	0.994256	0.000343973	0.005399966	2
amzn1.account.AGBYIETAT6ONOBT7GVHR3SAX5JUQ	0.8579409	0.03975907	0.1023001	8
amzn1.account.AEFFM6T4AKGTTMJIPKA7GQX4QEZQ	0.6260175	0.1095901	0.2643924	6
amzn1.account.AHRCZYQ5NUM5GAQ22VYYZZ2ROHTQ	0.9005722	0.06402403	0.03540372	2
amzn1.account.AFAODNSMT6MM47HNV4PKWUTBYG6A	0.9942734	0.0005667884	0.005159841	2
amzn1.account.AEQAPTWEVHP47QDFAIGNPPBW2NZA	0.9973223	0.0002408621	0.002436895	1
amzn1.account.AE3P76F4ZEDAQ44PI26QT3JX4XBQ	0.9469868	0.01131792	0.04169531	1
amzn1.account.AH5225ENFSSTZRJ2HPNGVVMQVONQ	0.9847193	0.001053714	0.01422691	3
amzn1.account.AFNUGP5YPCOLUOABQCOHDBIGPTDQ	0.9896614	0.0006946597	0.009643915	2
amzn1.account.AFOLRFM6ZBKBJH74S64QTYDX3BDA	0.9988366	4.947387E-05	0.001113921	1
amzn1.account.AELFHDWQ7BKR2WJTP6ZP3ZXAJ7CQ	0.9760662	0.008248745	0.01568498	2
amzn1.account.AFNIZV6VV6ZOZT3IZBZ3KIWLEXCQ	0.7199433	0.2082298	0.0718269	4
amzn1.account.AHGJFEMLF3FQ65JW3XLYZZCZQGOA	0.5568632	0.03976843	0.4033684	2
amzn1.account.AFIJ7CODZITFA6OBO4TJDVK65DXA	0.4787746	0.2736445	0.2475809	8
amzn1.account.AG7CBWCNBBBSHZ5BHPLMNMLWWOEQ	0.6958033	0.08803099	0.2161657	1
amzn1.account.AHEUFEPRTM6EFGQZDTP66I7MS5BQ	0.9149696	0.06525666	0.01977371	1
amzn1.account.AGBJJYFUJ4RRLR5EXDDLDIDSNTLA	0.9960577	0.0001868413	0.003755388	2
amzn1.account.AHKHO3RJJAAPZKIAIYHWDGNTDUSA	0.9534739	0.01099551	0.03553062	3
amzn1.account.AE2QXLHQEBXY7K4LW2B7DB54IM6A	0.7053349	0.02031981	0.2743453	4
amzn1.account.AFVIM6HXUSWIGTSN3NWCM5ITK7LQ	0.9964229	0.0001227799	0.00345413	1
amzn1.account.AHP2JKHWWWROTSJQBJGB4HVJYR2A	0.6949455	0.02824055	0.2768139	3
amzn1.account.AEK2MJTFTXJVH66GU6A5HTEK22TQ	0.9919248	0.0003923421	0.00768296	2
amzn1.account.AFOP2U67VO5J2COBMFE6DTW2NIMA	0.9105439	0.006142594	0.08331347	1
amzn1.account.AG4ENAJ5VCLD4JVBPTDAFR4AOXNQ	0.269392	0.4740362	0.2565718	5
amzn1.account.AH3COJCGRAP7YFJX3MUOMYZQ6YWA	0.3819369	0.4176217	0.2004413	3
amzn1.account.AERLYWFP7IDODJ2WGKOBBXMMW3UQ	0.6694131	0.176337	0.15425	3
amzn1.account.AE64WA3YJPFU5HPG4XOHGV5EKTVQ	0.5000402	0.4899068	0.01005305	2
amzn1.account.AGMFEARYS4OAGNNUJ3FQHZQPP4JQ	0.324594	0.4457478	0.2296583	11
amzn1.account.AGQYYX5IPICX5NMEZFZQ62ZZAZJA	0.7014617	0.1356253	0.1629129	8
amzn1.account.AHTRQROSPQBG7ZR3UC4KJN445VXA	0.2074757	0.5837399	0.2087844	7
amzn1.account.AFMZNE5WTDSNYOE2PQKS3QUBNLSQ	0.2711796	0.6211293	0.1076911	4
amzn1.account.AHIX77KGOTYMMI33UVMTJRHJNNTA	0.6017696	0.1447152	0.2535151	13
amzn1.account.AGL2772VRES5PG5TSKY5QTO2AFYA	0.1768597	0.2211799	0.6019604	2
amzn1.account.AGSUBJ7S3LFYB57WTWEKOUQCJADA	0.1183231	0.412318	0.4693589	3
amzn1.account.AEHYC3MSBXSZWMA4CYXZQYH6I4VA	0.93464	0.005747841	0.05961207	2
amzn1.account.AHZ7YICLUSRXVINYMJUX4BGX66NA	0.5598744	0.3916098	0.04851594	3
amzn1.account.AFOC5GAKEFKICL4EC7OQSEMAH3ZQ	0.4990866	0.4370596	0.06385383	9
amzn1.account.AF7ZP2V6LEYPUHL4J5QFC3DFDTOA	0.0481853	0.7481424	0.2036723	4
amzn1.account.AHQFWZQ6N5TQFEFAHGDTGYIC6MOQ	0.01249155	0.9289302	0.05857815	2
amzn1.account.AH4NNFZQFGSOSEA7NIVEGQGM4EIQ	0.9109514	0.06579638	0.02325221	3
amzn1.account.AFI2AIAYAMMN562ADBCRNPCV6FTA	0.4399664	0.2553108	0.3047228	7
amzn1.account.AE5T5N4CFHAT2XCXWJCV2FB2ACPA	0.1499098	0.6064342	0.243656	2
amzn1.account.AHLYVMVHTAI2PDSLF6GLWVUPYPPQ	0.4898264	0.3040309	0.2061427	4
amzn1.account.AG55I5L2FD3A4R7EYJDFOISEBJOA	0.4467006	0.2446311	0.3086684	3
amzn1.account.AHSKZO2MPKGW2I3QLSXELPKQGRDQ	0.552575	0.06622162	0.3812035	2
amzn1.account.AFT5367FRSKQ7B3FAJUH4K356X7A	0.4784741	0.1353319	0.386194	5
amzn1.account.AG2U6DPPD72OQAV6XOXCFLMBHSCA	0.03312735	0.4961582	0.4707144	2
amzn1.account.AG2Z7XEZRRXO37HKILV7PUWGWDSQ	0.02279944	0.8651622	0.1120384	5
amzn1.account.AEM64UGLKRZSAEIN37JLSNQKVYRQ	0.3562412	0.5604598	0.08329894	3
amzn1.account.AGBROFP7623YHQ3UZCL6HFLDHYOA	0.04750376	0.6531998	0.2992965	2
amzn1.account.AHZ65KNEGWPMYVKJ4JMRMERRVVEQ	0.6195009	0.0974225	0.2830766	4
amzn1.account.AHWIDJ2IXXOOFXWXYO7B5AWWUVTQ	0.8431809	0.1076306	0.04918849	3
amzn1.account.AGEP45ZWHGMFTNTPTKTICFNENIJA	0.9846823	0.005769657	0.009548008	2
amzn1.account.AGFJ6N6N7WRYMBMWZGOVXCGOT2ZQ	0.9832854	0.002035435	0.01467912	1
amzn1.account.AHDWTEM42VXTJRGAVVBLNJFTFMDA	0.9995111	6.808579E-06	0.0004820721	1
amzn1.account.AEYUOSPFVY7MQLFFMTO2ECL7LHSA	0.9965152	0.0002950995	0.003189721	1
amzn1.account.AHJYK46OCMZNYAVLSG5YHPDONEOQ	0.9931257	0.000243542	0.006630665	3
amzn1.account.AFIQEYXFSLKGA4UGL3SXNQ66576Q	0.985862	0.0005313089	0.01360672	4
amzn1.account.AESEKFYIXFTACIEUUE4QXV4YDCJA	0.9907739	0.0003756205	0.00885048	2
amzn1.account.AFRHOMK4K52BAQZQZJTF65YT6ONQ	0.9992575	1.366588E-05	0.0007287837	1
amzn1.account.AEI4LTFB3QOTQ4J3DSK5R4X6VSNQ	0.9985241	6.379629E-05	0.001412009	1
amzn1.account.AGIHI45MONYXCWIRI5GRU3AVZKMA	0.99405	0.0003382299	0.00561192	1
amzn1.account.AGS6R2E6OSTRWJEZO4MUZDQJQ5JA	0.6943414	0.1989447	0.1067138	3
amzn1.account.AEDHXURR2H2QD5YEKDOS72P6LI2A	0.8506057	0.004568238	0.1448261	6
amzn1.account.AEGSH6JTOVFJY6ZDHOGAQEPAMJPA	0.999233	1.261918E-05	0.000754373	2
amzn1.account.AFP67MGN3L23EKERKAMOSFAARCEA	0.9904728	0.0008235556	0.008703717	2
amzn1.account.AET5CD3XRBAYTNNNP5I55GRTASQA	0.9986353	5.558164E-05	0.001309109	2
amzn1.account.AHZUP5PSI5JZRTCBWKY7RM7K3FHQ	0.4823411	0.3011778	0.216481	5
amzn1.account.AEG44RFBA3DT6JOAVL4PCNG6LVJA	0.9974848	5.295661E-05	0.002462218	2
amzn1.account.AEFN6RIP5LWAAUFFU2H24V5K55CQ	0.8816094	0.0256086	0.09278189	2
amzn1.account.AEU3EPS4RFBDDZAG3MMP3575IDLA	0.9773757	0.006487234	0.01613698	3
amzn1.account.AHTPDPWCJCXJGQX6GH7VCT2XOAFQ	0.8693218	0.01867708	0.1120011	3
amzn1.account.AGVSCIXI4ANLSAMSK342XDQLCRZQ	0.7495463	0.1577777	0.09267603	8
amzn1.account.AHCQYUN6BJHFX7SZVG227FGFICCQ	0.9371697	0.01218741	0.05064283	1
amzn1.account.AGBSE2KAIM35RK26Q66X6Q4WABEA	0.9567688	0.007375195	0.03585605	4
amzn1.account.AHDESVZCVIEPD4SG6WXPQWAJHIQQ	0.641454	0.3332677	0.02527831	3
amzn1.account.AEVI65DZOV36BDF7IAAY35V5UAIQ	0.9750456	0.004606772	0.02034771	4
amzn1.account.AFZOSCQHFM5HVPZVFJPHYV5DFTTQ	0.9746568	0.004566448	0.02077678	3
amzn1.account.AE7MEJ6UKSYEX5UKQ7XITMWMCI7A	0.4576893	0.3798901	0.1624205	2
amzn1.account.AEX42566WDGNGW4DBEV3C5NSIQ2Q	0.4306858	0.09369557	0.4756185	5
amzn1.account.AEF2VBO546VJ2EIYCTM3CN7CKLZQ	0.6609287	0.1951663	0.143905	1
amzn1.account.AGYFWH3UGVMB3CLRA7Z522VAYCXQ	0.7101938	0.02616671	0.2636395	3
amzn1.account.AFE3LRMHGJRIDJ3DNYLO7O72EHZA	0.6772056	0.1959074	0.1268871	6
amzn1.account.AGM6IWWAD2VQGSNATTU3GJOPTAIA	0.9954412	0.0002887674	0.004270167	1
amzn1.account.AGJJUVCLGJF2UIM3V6NBBVKEFVAQ	0.2465929	0.4478658	0.3055413	8
amzn1.account.AGDKTO2GPSZDJ72QODH72ETKYOQA	0.9979028	0.0001699067	0.001927302	3
amzn1.account.AGS2SPFZ7RCR7NZECFBDTCGHVVQQ	0.4187317	0.31864	0.2626283	6
amzn1.account.AEG3DY3N3VMMYMOVEP7VXZQXMNHQ	0.7581168	0.02046145	0.2214217	2
amzn1.account.AGTBIRDSOITTDVDW7CINXULFICDQ	0.09034491	0.6967509	0.2129042	3
amzn1.account.AHXM3F2IKTWWOU7QHF3LLXQED42Q	0.6115481	0.2712214	0.1172304	1
amzn1.account.AHK4D3UYNPGUEXPXVUFEPQSYXWFQ	0.4329415	0.3078554	0.2592031	10
amzn1.account.AHEU7BZEQVLRJEUYMYHSCNB6A4ZA	0.7003188	0.07509479	0.2245863	1
amzn1.account.AFYVSP3ZNLPJ3FADG3XMCBTMFGDA	0.4536095	0.07562367	0.4707668	1
amzn1.account.AGVQLSRVOHH4SKZEUOSNN6QCKVMA	0.07406289	0.9127734	0.01316363	1
amzn1.account.AH4GB273RQROSELWMRHVMRLPC5HQ	0.5380251	0.04662998	0.4153449	5
amzn1.account.AEMFKE2BM5YUPBPIRCVKWZ4XJPMQ	0.3624112	0.5443875	0.09320126	7
amzn1.account.AEBXY3UQ6HCU3WMEHBATV5BUOITQ	0.2558626	0.4870507	0.2570867	4
amzn1.account.AFF65GQRTSNZW6QCFFGOAG2TTPWA	0.998908	5.602447E-05	0.001036019	1
amzn1.account.AFE3NNCJKC5YBDW6UJ73LU5TN7HA	0.9990941	1.971133E-06	0.00090382	1
amzn1.account.AEXXQNC4WGNIXZI6B4BLY3SKJNFA	0.9967293	0.0003691226	0.002901717	2
amzn1.account.AEBMG3YWDDAHLTRNWCD4UPB6YIWQ	0.9998314	2.127942E-06	0.0001664063	3
amzn1.account.AHNX5UZJGGM3MM47IREH6DFEPE5A	0.8844461	0.01458347	0.1009704	4
