Uid	Term	Term_Score
0	all	100
0	easy to use	115.2902
0	screen	17.50818
0	hold	15.55362
1	all	100
1	screen	17.50818
1	read	17.59951
2	all	100
2	text	11.01778
2	font	21.30066
3	all	100
3	easy to read	97.2167
3	screen	17.50818
4	all	100
4	easy to read	97.2167
4	screen	17.50818
5	all	100
5	font	21.30066
5	eyes	24.87552
5	easy	15.53358
6	all	100
6	adjustable	10.69589
6	backlight	22.38607
7	all	100
7	backlight	22.38607
8	all	100
9	all	100
9	screen	17.50818
10	all	100
10	screen	17.50818
10	kindle	20.09775
11	all	100
11	bright	17.01531
12	all	100
12	easy to use	115.2902
12	screen	17.50818
12	font	21.30066
13	all	100
13	screen	17.50818
14	all	100
14	backlight	22.38607
15	all	100
15	backlight	22.38607
15	reading	18.88097
16	all	100
16	adjustable	10.69589
16	lighting	10.86724
16	reading	18.88097
16	backlit	13.99583
16	screen	17.50818
16	kindle	20.09775
17	all	100
17	screen	17.50818
17	light	6.932328
18	all	100
18	glare	25.92916
19	all	100
19	screen	17.50818
19	one	5.214856
20	all	100
20	screen	17.50818
20	read	17.59951
20	eyes	24.87552
21	all	100
21	kindle	20.09775
21	read	17.59951
21	eyes	24.87552
22	all	100
22	backlight	22.38607
22	screen	17.50818
23	all	100
23	built in light	128.5095
23	screen	17.50818
23	glare	25.92916
24	all	100
24	read	17.59951
25	all	100
25	easy to use	115.2902
26	all	100
26	sunlight	17.37161
26	bright	17.01531
26	night	13.30779
27	all	100
27	reading	18.88097
27	kindle	20.09775
27	glare	25.92916
28	all	100
28	screen	17.50818
29	all	100
29	built in light	128.5095
29	straining	17.12749
29	glare	25.92916
29	read	17.59951
29	eyes	24.87552
30	all	100
30	screen	17.50818
31	all	100
31	screen	17.50818
31	glare	25.92916
32	all	100
32	built in light	128.5095
33	all	100
33	problem	6.932328
33	screen	17.50818
33	read	17.59951
33	sun	12.07366
34	all	100
34	reading	18.88097
34	screen	17.50818
34	paper	17.8148
35	all	100
35	easy to read	97.2167
35	reading	18.88097
35	kindle	20.09775
36	all	100
36	easy to read	97.2167
36	screen	17.50818
36	bright	17.01531
37	all	100
37	screen	17.50818
37	read	17.59951
38	all	100
38	screen	17.50818
38	read	17.59951
39	all	100
39	screen	17.50818
40	all	100
40	eyes	24.87552
41	all	100
41	screen	17.50818
41	bright	17.01531
42	all	100
42	screen	17.50818
43	all	100
43	screen	17.50818
44	all	100
44	glare	25.92916
45	all	100
45	screen	17.50818
45	ink	12.39192
45	e	14.3388
46	all	100
46	screen	17.50818
46	kindle	20.09775
46	glare	25.92916
47	all	100
47	screen	17.50818
47	glare	25.92916
48	all	100
48	reading	18.88097
48	screen	17.50818
49	all	100
49	screen	17.50818
50	all	100
50	glare	25.92916
50	read	17.59951
51	all	100
51	backlight	22.38607
52	all	100
52	kindle	20.09775
52	bright	17.01531
52	eyes	24.87552
53	all	100
53	screen	17.50818
53	wasnt	14.33152
54	all	100
54	problem	6.932328
54	screen	17.50818
54	really	5.380913
54	bottom	9.037237
54	wasnt	14.33152
54	light	6.932328
55	all	100
56	all	100
56	reading	18.88097
56	screen	17.50818
56	eyes	24.87552
57	all	100
57	screen	17.50818
57	kindle	20.09775
58	all	100
58	screen	17.50818
58	one	5.214856
59	all	100
59	screen	17.50818
59	button	8.105928
59	page	16.03287
60	all	100
60	straining	17.12749
60	screen	17.50818
60	eyes	24.87552
61	all	100
61	screen	17.50818
61	small	6.722289
62	all	100
62	screen	17.50818
62	would	4.694401
63	all	100
63	screen	17.50818
64	all	100
64	bright	17.01531
64	eyes	24.87552
65	all	100
65	screen	17.50818
66	all	100
66	screen	17.50818
67	all	100
67	screen	17.50818
68	all	100
68	screen	17.50818
69	all	100
69	screen	17.50818
70	all	100
70	screen	17.50818
70	eyes	24.87552
71	all	100
71	battery	19.08386
71	life	20.09182
72	all	100
72	great battery life	78.52269
73	all	100
73	great battery life	78.52269
74	all	100
74	battery	19.08386
75	all	100
75	great battery life	78.52269
76	all	100
76	long lasting battery	93.68285
77	all	100
77	battery	19.08386
77	books	16.98375
77	life	20.09182
78	all	100
78	battery	19.08386
78	life	20.09182
79	all	100
79	battery	19.08386
79	life	20.09182
80	all	100
80	great battery life	78.52269
80	reading	14.91823
81	all	100
81	battery	19.08386
81	life	20.09182
82	all	100
82	backlight	16.82799
82	battery	19.08386
82	life	20.09182
83	all	100
83	long time	55.91626
84	all	100
84	battery	19.08386
84	life	20.09182
85	all	100
85	great battery life	78.52269
86	all	100
86	backlight	19.1348
86	battery	19.08386
86	lasts	22.60803
87	all	100
87	battery	19.08386
87	life	20.09182
88	all	100
88	charge	15.19083
89	all	100
89	battery	19.08386
89	lasts	22.60803
90	all	100
90	battery	19.08386
90	life	20.09182
91	all	100
91	battery	19.08386
91	charge	15.19083
91	weeks	17.07062
92	all	100
92	long lasting battery	93.68285
93	all	100
93	long time	55.91626
93	battery	19.08386
93	lasts	22.60803
94	all	100
94	lasts forever	55.39159
94	battery	19.08386
94	charge	15.19083
94	weeks	17.07062
95	all	100
95	long lasting battery	93.68285
96	all	100
96	reading	14.91823
96	battery	19.08386
96	weeks	17.07062
96	books	16.98375
96	life	20.09182
97	all	100
97	charge	16.00132
97	weeks	17.07062
97	lasts	22.60803
98	all	100
98	charges	12.03206
99	all	100
99	lasts forever	55.39159
99	battery	19.08386
100	all	100
100	lasts forever	55.39159
101	all	100
101	battery	19.08386
101	weeks	17.07062
101	lasts	22.60803
102	all	100
102	battery	19.08386
103	all	100
103	battery	19.08386
103	lasts	22.60803
104	all	100
104	battery life	58.26548
104	charged	11.77211
105	all	100
105	long time	55.91626
105	battery	19.08386
105	lasts	22.60803
106	all	100
106	books	16.98375
107	all	100
108	all	100
108	battery	19.08386
109	all	100
109	battery life	58.26548
109	charges	12.03206
110	all	100
110	charge	16.00132
111	all	100
111	battery	19.08386
111	life	20.09182
112	all	100
112	long time	55.91626
112	battery	19.08386
112	lasts	22.60803
113	all	100
113	battery	19.08386
114	all	100
114	charge	16.00132
114	weeks	17.07062
115	all	100
115	battery	19.08386
116	all	100
116	charge	16.00132
