Uid	User_Id	Feature	Comment	Sentiment	Pos	Neg	Nut
0	amzn1.account.AEZCMSWV6OJ7MS3GSJM6ASMQN32A	Software Platform	"Best Android box I've used."	Positive	0.9398212	0.003212803	0.05696592
1	amzn1.account.AHBUZ4K7QXKLSJSLRUWVRATB26HA	Software Platform	"This is by far the best Android TV on the market."	Positive	0.9967251	0.0001308841	0.003143939
2	amzn1.account.AHRZMIRLG2F7SDSGYNLY655UVNFQ	Software Platform	"Apps work great."	Positive	0.9778214	0.005138378	0.01704025
3	amzn1.account.AH76XEMHTCSZIRJHYGTFSIP7AGRQ	Software Platform	"Very easy to setup especially with my android phone."	Positive	0.9992018	4.629085E-05	0.0007517609
4	amzn1.account.AHKTHKRM6S6JIAZFH62A573VNQ5A	Software Platform	"Super fast android box ever!"	Positive	0.9700805	0.005259616	0.02465983
5	amzn1.account.AFS6CVBJZEY2YFAFI3GVL4IEDFWA	Software Platform	"Best android box hands down, well worth it, when you consider the features included it's well worth the money."	Positive	0.9950989	0.0001545172	0.004746574
6	amzn1.account.AELJD4UKZI5EFSJLMBYRJBUUYZ7A	Software Platform	"- Easy OTA updates, and I trust Nvidia will continue to provide them."	Positive	0.7516403	0.0007553737	0.2476043
7	amzn1.account.AEJGEBMMJQPJQQDSQS2YUX6WQAUA	Software Platform	"This is a very good Android box."	Positive	0.9971913	0.0001949202	0.002613835
8	amzn1.account.AG22EC2K3Q32K367HQK62ADBSXBQ	Software Platform	"The most amazing modern tech since the smart phone."	Positive	0.9886743	0.000164225	0.01116156
9	amzn1.account.AH2DA6NURYUS2YTQSXD6SQ6XZ5GQ	Software Platform	"works lovely smooth once you get use to the apk store everything works 100%"	Positive	0.98794	0.0004032107	0.01165683
10	amzn1.account.AERNQN7ZECR5H2UCI37TOY62N6QQ	Software Platform	"The best and powerful streaming android smart tv box you can get in the market."	Positive	0.9367025	0.0003917438	0.06290576
11	amzn1.account.AG6AGKQMXKZYXCLMJBF5YHYSKIEQ	Software Platform	"Real talk, this is the best android box I've ownd to date."	Positive	0.9797273	0.001982487	0.01829036
12	amzn1.account.AEPOTN75OWZKJH6OKVXDTBKD4SHA	Software Platform	"Absolutely amazing streaming device."	Positive	0.9975039	0.0002175842	0.002278373
13	amzn1.account.AHX4SGYBNTCGP7S54SYMVQC4XRZA	Software Platform	"Works fantastic as an android tv box."	Positive	0.9982927	4.055344E-05	0.001666571
14	amzn1.account.AFFV3AKR776VTOP6Y77KDSOJDEWA	Software Platform	"Love it best android box I ever owned."	Positive	0.9994023	3.096641E-05	0.0005667817
15	amzn1.account.AEHZZU7AVQKEVLCK5P5LZUMVNPEQ	Software Platform	"Best android box on the market."	Positive	0.8247132	0.002358475	0.1729283
16	amzn1.account.AENFHNONDKCPNVJCGZUSROBBGY3A	Software Platform	"Best android box on the market!"	Positive	0.9191709	0.001213723	0.07961536
17	amzn1.account.AHBUZ4K7QXKLSJSLRUWVRATB26HA	Software Platform	"This is a gorgeous device, very responsive, supports plenty of apps and games from the Play store and is regularly updated."	Positive	0.9992341	9.164874E-06	0.0007566733
18	amzn1.account.AFNLT5KRDFIDG4552GBNU2YVM5MQ	Software Platform	"Great Android box and amazing performance."	Positive	0.9983546	2.641509E-05	0.001619029
