Uid	Term	Term_Score
0	all	100
0	best android	45.0793
0	android box	43.46378
1	all	100
1	best android	45.0793
1	android tv	42.96536
2	all	100
2	apps	31.21547
3	all	100
3	easy to setup	58.03367
3	android phone	65.66054
4	all	100
4	android box	43.46378
5	all	100
5	best android	45.0793
5	android box	43.46378
6	all	100
6	nvidia	40.76477
7	all	100
7	android box	43.46378
8	all	100
8	smart	15.13237
9	all	100
10	all	100
10	streaming	32.39369
10	android	35.81115
11	all	100
11	best android	45.0793
11	android box	43.46378
12	all	100
12	streaming device	40.73249
13	all	100
13	android tv	42.96536
14	all	100
14	best android	45.0793
14	android box	43.46378
15	all	100
15	best android	45.0793
15	android box	43.46378
16	all	100
16	best android	45.0793
16	android box	43.46378
17	all	100
17	play store	60.52608
17	apps	31.21547
18	all	100
18	android box	43.46378
19	all	100
19	kodi	43.55359
20	all	100
20	best android	45.0793
20	android box	43.46378
21	all	100
21	android box	43.46378
21	boxes	32.40374
22	all	100
22	interface	14.74239
23	all	100
23	android box	43.46378
24	all	100
24	android boxes	45.36487
25	all	100
25	android tv device	74.45565
25	best android tv	86.67957
26	all	100
26	android box	43.46378
26	shield	36.59625
26	nvidia	40.76477
27	all	100
27	voice	17.89064
28	all	100
28	best android	45.0793
28	android tv	42.96536
29	all	100
29	streaming	32.39369
30	all	100
30	android box	43.46378
30	streaming	32.39369
30	nvidia	40.76477
30	kodi	43.55359
31	all	100
31	assistant	34.81524
32	all	100
32	android	35.81115
33	all	100
33	android tv	42.96536
34	all	100
34	best android	45.0793
34	android tv	42.96536
35	all	100
35	best android	45.0793
35	android tv	42.96536
36	all	100
36	nvidia	40.76477
37	all	100
37	best android	45.0793
38	all	100
38	easy to setup	58.03367
38	android phone	65.66054
39	all	100
39	best android	45.0793
39	android box	43.46378
40	all	100
40	best android	45.0793
40	android tv	42.96536
41	all	100
41	best android	45.0793
41	android box	43.46378
41	games	31.7364
42	all	100
42	snappy	21.14985
43	all	100
43	kodi	43.55359
44	all	100
44	google play	53.70535
45	all	100
45	easy to install	71.0974
45	kodi	43.55359
46	all	100
46	kodi	43.55359
47	all	100
47	best android	45.0793
48	all	100
48	streaming device	40.73249
48	android boxes	47.32212
49	all	100
50	all	100
50	streaming device	40.73249
50	media	21.99581
51	all	100
51	android tv	42.96536
51	shield	36.59625
51	nvidia	40.76477
51	boxes	32.40374
52	all	100
52	android box	43.46378
53	all	100
53	nvidia	40.76477
54	all	100
54	android tv	42.96536
55	all	100
55	kodi	43.55359
56	all	100
56	assistant	34.81524
56	google	28.64112
57	all	100
57	android box	43.46378
58	all	100
58	best android	45.0793
58	streaming	32.39369
59	all	100
59	android box	43.46378
60	all	100
60	canada	34.42183
61	all	100
61	android	35.81115
61	stream	27.31586
61	gaming	27.7613
61	games	31.7364
62	all	100
62	best android	45.0793
62	android tv	42.96536
63	all	100
63	apps	31.21547
64	all	100
64	kodi	43.55359
65	all	100
65	best android	45.0793
65	android box	43.46378
66	all	100
66	streaming device	40.73249
67	all	100
67	android	35.81115
67	games	31.7364
68	all	100
68	streaming	32.39369
69	all	100
70	all	100
70	android	35.81115
71	all	100
71	android box	43.46378
72	all	100
72	android box	43.46378
72	shield	36.59625
73	all	100
73	plex	42.18784
73	kodi	43.55359
74	all	100
74	best android	45.0793
74	android tv	42.96536
75	all	100
76	all	100
76	best android	45.0793
76	android box	43.46378
77	all	100
77	android tv	42.96536
78	all	100
78	easy to set	62.3221
78	apps	31.21547
79	all	100
80	all	100
80	google play	53.70535
80	play store	60.52608
80	android	35.81115
80	games	31.7364
