Uid	User_Id	Feature	Comment	Sentiment	Pos	Neg	Nut
0	amzn1.account.AFEAIIZD3HBHUFLBGGCJFHD64OQQ	Product Reliability	"so far they are working great!"	Positive	0.9955416	0.0009412945	0.003517057
1	amzn1.account.AFIG2TIROX7S5RPFIGPWMEBRGPPQ	Product Reliability	"They have been working remarkable well in the stables"	Positive	0.9970723	0.000372565	0.002555103
2	amzn1.account.AGZ7W73YEIFEQWDKDS2EMO27CMCQ	Product Reliability	"Have had these for a few months now and I can definitely tell the work."	Positive	0.9891143	0.002108405	0.008777329
3	amzn1.account.AFSUVS5KMIZP3PVXKKJMJE7HRMBA	Product Reliability	"I was skeptical, but these actually seem to be working."	Positive	0.7233304	0.06991574	0.2067538
4	amzn1.account.AEQEKT6ZMMFBXQLT7PO2BDUE2PEA	Product Reliability	"So far it is working  well on our ants."	Positive	0.9913134	0.0005799519	0.00810658
5	amzn1.account.AFGUGMB75ZY46X7ABZHCB5QLDOJA	Product Reliability	"Working well and with the other 2 I purchased NO ants"	Positive	0.9445089	0.01688713	0.0386041
6	amzn1.account.AHIGO3IGZ4RIAMID2IIC2E7HZ4UQ	Product Reliability	"Let's see how long it will last."	Neutral	0.2610097	0.02742342	0.711567
7	amzn1.account.AFJ2RJZF3GCKRCRRB4HIUVF6IH2Q	Product Reliability	"I starting using this 2 months ago and have not seen one rodent or roaches since I started using this item."	Positive	0.9257489	0.02423953	0.05001151
8	amzn1.account.AFTPLTQUWK7DIRKHB6DHUN6NNRQA	Product Reliability	"Yes they took 3 weeks but they have been a real sanity saver."	Positive	0.9484413	0.01003125	0.04152741
9	amzn1.account.AFJGYA5X5DPQQ7JIPDVVGRKEQRIA	Product Reliability	"These really worked!"	Positive	0.9937055	0.001408667	0.004885862
10	amzn1.account.AG2XGLRFVTH35QZ5JUSQSU5SHHPA	Product Reliability	"These seem to be working as advertised."	Positive	0.9603761	0.02104879	0.0185751
11	amzn1.account.AH3YKXXT6ZGM6CFXOHIZSQ2CAXFQ	Product Reliability	"I will update as soon I decide if it's working or not."	Neutral	0.07681663	0.06265355	0.8605298
