User_Id	Pos	Neg	Nut	Total
amzn1.account.AFEAIIZD3HBHUFLBGGCJFHD64OQQ	0.4708416	0.1403926	0.3887658	3
amzn1.account.AFIG2TIROX7S5RPFIGPWMEBRGPPQ	0.7814121	0.08200312	0.1365848	3
amzn1.account.AGZ7W73YEIFEQWDKDS2EMO27CMCQ	0.9850965	0.005162331	0.009741182	3
amzn1.account.AFSUVS5KMIZP3PVXKKJMJE7HRMBA	0.7233304	0.06991574	0.2067538	1
amzn1.account.AEQEKT6ZMMFBXQLT7PO2BDUE2PEA	0.9913134	0.0005799519	0.00810658	1
amzn1.account.AFGUGMB75ZY46X7ABZHCB5QLDOJA	0.9445089	0.01688713	0.0386041	1
amzn1.account.AHIGO3IGZ4RIAMID2IIC2E7HZ4UQ	0.2933663	0.03073458	0.6758991	2
amzn1.account.AFJ2RJZF3GCKRCRRB4HIUVF6IH2Q	0.9257489	0.02423953	0.05001151	1
amzn1.account.AFTPLTQUWK7DIRKHB6DHUN6NNRQA	0.5282229	0.008763743	0.4630134	2
amzn1.account.AFJGYA5X5DPQQ7JIPDVVGRKEQRIA	0.5828729	0.3796595	0.03746767	2
amzn1.account.AG2XGLRFVTH35QZ5JUSQSU5SHHPA	0.9603761	0.02104879	0.0185751	1
amzn1.account.AH3YKXXT6ZGM6CFXOHIZSQ2CAXFQ	0.4808653	0.04688751	0.4722472	2
amzn1.account.AFCWDH7Y3N3U4ZKGOXSOAZR6TW4Q	0.4404885	0.2290961	0.3304154	7
amzn1.account.AG5VUF5FKXR7OJKT7MY3L34TPKHQ	0.4104988	0.04495193	0.5445492	1
amzn1.account.AHQRHKSVTZ5IUQM5POWPK7YQGKTA	0.8355151	0.1026088	0.06187604	1
amzn1.account.AGRWSQTCD5OO7S5AKAICIWXRTUVQ	0.6582757	0.1648072	0.1769172	3
amzn1.account.AEMFLHNRIVLOCAX2CDLYWPNVS3IA	0.7487376	0.08528803	0.1659743	1
amzn1.account.AHIMLUO3VVXLCEGZGQ2OZZQCKTUA	0.5309992	0.06548187	0.403519	1
amzn1.account.AHQJXO7OF62WCLN2LMLDYU75RPUQ	0.6602387	0.08455892	0.2552024	1
amzn1.account.AGKE5CHDTUTXC45HMGGL7I2D4KLQ	0.5645052	0.1939847	0.2415102	2
amzn1.account.AGPYKG4MVD2C4MULB33IEIJTUB7A	0.8197759	0.04816544	0.1320587	1
amzn1.account.AE5S3LERJKCGCSW443ZXF6RPI7WQ	0.420943	0.2869039	0.2921531	3
amzn1.account.AGILHPDNWZD2HQO2GG5CRRAOYCIQ	0.5175457	0.1499324	0.3325219	3
amzn1.account.AGSZE5HHEXFK53NFMR7UCCMK5WDA	0.1100734	0.001744198	0.8881825	1
amzn1.account.AG2ZW7EKYGIZH5WALP7G3RMXUJKA	0.1934092	0.5115481	0.2950426	2
