Uid	Term	Term_Score
0	all	100
1	all	100
2	all	100
3	all	100
4	all	100
4	ants	40.62072
5	all	100
5	ants	40.62072
6	all	100
7	all	100
7	roaches	20.42216
7	rodent	20.42216
8	all	100
8	3 weeks	55.3555
9	all	100
10	all	100
11	all	100
12	all	100
13	all	100
14	all	100
15	all	100
16	all	100
17	all	100
18	all	100
19	all	100
20	all	100
21	all	100
22	all	100
23	all	100
24	all	100
24	3 weeks	55.3555
25	all	100
25	ants	27.81509
26	all	100
27	all	100
27	weeks	19.54476
28	all	100
28	sensors	13.3675
28	weeks	19.54476
29	all	100
30	all	100
31	all	100
31	weeks	19.54476
32	all	100
33	all	100
33	spiders	32.29615
34	all	100
34	weeks	19.54476
35	all	100
36	all	100
36	weeks	19.54476
37	all	100
38	all	100
38	rodents	19.73564
39	all	100
40	all	100
40	3 weeks	55.3555
41	all	100
42	all	100
42	month	18.0479
43	all	100
43	weeks	19.54476
44	all	100
45	all	100
45	month	18.0479
46	all	100
47	all	100
47	month	18.0479
47	pest	20.42216
48	all	100
49	all	100
50	all	100
51	all	100
52	all	100
53	all	100
53	mice	18.03186
54	all	100
55	all	100
55	month	18.0479
56	all	100
56	month	18.0479
57	all	100
58	all	100
59	all	100
60	all	100
60	rodent	20.42216
60	month	18.0479
61	all	100
62	all	100
62	weeks	19.54476
63	all	100
63	mice	37.11735
64	all	100
64	spiders	32.29615
64	month	18.0479
65	all	100
65	weeks	19.54476
66	all	100
67	all	100
67	roaches	20.42216
67	spider	20.48056
68	all	100
68	3 weeks	55.3555
69	all	100
69	spiders	32.29615
69	weeks	19.54476
70	all	100
71	all	100
72	all	100
72	returned	9.408527
72	cannot	8.979276
72	days	9.489481
73	all	100
74	all	100
74	mice	18.03186
75	all	100
75	rodents	19.73564
76	all	100
77	all	100
78	all	100
78	3 weeks	55.3555
79	all	100
80	all	100
81	all	100
82	all	100
83	all	100
84	all	100
85	all	100
86	all	100
87	all	100
87	3 weeks	55.3555
88	all	100
89	all	100
89	pest	20.42216
90	all	100
91	all	100
91	mice	37.11735
92	all	100
92	mice	37.11735
93	all	100
93	seen a mouse	81.91739
94	all	100
94	mouse	22.66233
95	all	100
95	traps	23.53945
95	mouse	22.66233
96	all	100
96	mice	37.11735
97	all	100
97	seen a mouse	81.91739
97	droppings	33.67324
97	ants	19.73564
98	all	100
98	mouse	22.66233
99	all	100
99	mouse	22.66233
99	seen	19.98016
100	all	100
100	seen	19.98016
100	mice	37.11735
101	all	100
101	mouse	22.66233
101	trap	26.51256
102	all	100
102	mouse	22.66233
102	seen	19.98016
103	all	100
103	mouse	22.66233
104	all	100
104	mouse problem	44.05458
105	all	100
105	mice	37.11735
106	all	100
106	mice	37.11735
107	all	100
107	mouse	22.66233
108	all	100
108	mice	37.11735
109	all	100
109	mouse	22.66233
110	all	100
110	seen a mouse	81.91739
110	mice	37.11735
110	bugs	18.64457
111	all	100
111	mice	37.11735
111	bugs	18.64457
112	all	100
112	mouse	22.66233
112	trap	26.51256
113	all	100
113	mice	37.11735
114	all	100
114	cleaning	14.72749
114	traps	23.53945
114	tired	12.00877
114	mouse	22.66233
115	all	100
115	mouse problem	44.05458
116	all	100
116	mice	37.11735
117	all	100
117	mouse	22.66233
118	all	100
118	mouse	22.66233
118	trap	26.51256
119	all	100
119	mouse	22.66233
119	trap	26.51256
119	bugs	18.64457
120	all	100
120	spiders	18.56205
120	mice	37.11735
121	all	100
121	return	16.51313
121	mice	37.11735
122	all	100
122	mouse	22.66233
123	all	100
123	mice	37.11735
124	all	100
124	traps	23.53945
124	mice	37.11735
125	all	100
125	seen a mouse	81.91739
126	all	100
126	spiders	18.56205
126	mice	37.11735
126	bugs	18.64457
127	all	100
127	mice	37.11735
128	all	100
128	mouse	22.66233
129	all	100
129	mice	37.11735
130	all	100
130	mice	37.11735
131	all	100
131	mice	37.11735
132	all	100
132	repel	19.73564
132	mice	37.11735
133	all	100
133	mouse	22.66233
134	all	100
134	mice	37.11735
135	all	100
135	mice	37.11735
136	all	100
136	repel	19.73564
136	mouse	22.66233
137	all	100
137	mouse problem	44.05458
138	all	100
138	mouse	22.66233
138	mice	37.11735
139	all	100
139	mice	37.11735
140	all	100
140	mice	37.11735
141	all	100
141	mouse	22.66233
142	all	100
142	mice	37.11735
143	all	100
143	mice	37.11735
144	all	100
144	mouse	22.66233
144	trap	26.51256
144	mice	37.11735
145	all	100
145	house	22.09385
146	all	100
146	house	22.09385
147	all	100
148	all	100
148	living room	63.85696
149	all	100
149	every room	59.70659
149	house	22.09385
150	all	100
150	placed	10.69894
150	around	6.874928
150	house	22.09385
151	all	100
151	throughout my house	99.57954
151	mess	11.67369
152	all	100
152	every room	59.70659
152	house	22.09385
153	all	100
153	house	22.09385
154	all	100
154	house	22.09385
155	all	100
155	living room	63.85696
155	kitchen	21.71306
156	all	100
156	rooms	21.0607
157	all	100
157	every room	59.70659
158	all	100
159	all	100
159	house	22.09385
160	all	100
160	house	22.09385
160	area	9.460034
161	all	100
161	every room	59.70659
161	house	22.09385
162	all	100
162	spiders	35.05132
162	house	22.09385
162	ants	30.41609
163	all	100
163	rooms	21.0607
164	all	100
164	kitchen	21.71306
165	all	100
165	spider	20.48056
166	all	100
167	all	100
167	repellents	20.42216
167	spiders	35.05132
168	all	100
168	kitchen	21.71306
168	house	22.09385
168	ants	30.41609
169	all	100
169	living room	63.85696
169	kitchen	21.71306
170	all	100
170	throughout my house	99.57954
170	plugged	8.614049
170	rooms	21.0607
170	area	9.460034
170	6	9.706025
171	all	100
171	coverage	11.91175
171	6 pack	70.86136
171	rooms	21.0607
172	all	100
173	all	100
173	living room	63.85696
173	kitchen	21.71306
174	all	100
174	6	9.706025
175	all	100
175	house	22.09385
176	all	100
176	house	22.09385
177	all	100
177	rooms	21.0607
178	all	100
179	all	100
179	house	22.09385
179	pest	20.42216
180	all	100
180	house	22.09385
181	all	100
181	kitchen	21.71306
182	all	100
182	house	22.09385
183	all	100
183	coverage	11.91175
183	placed	10.69894
183	house	22.09385
184	all	100
185	all	100
185	every room	59.70659
185	problem	9.770311
185	one	4.207313
186	all	100
186	plugged	8.614049
187	all	100
187	roaches	25.31273
187	house	22.09385
188	all	100
189	all	100
189	house	22.09385
190	all	100
190	spider	20.48056
190	roach	20.42216
191	all	100
191	ants	30.41609
192	all	100
192	roaches	25.31273
192	house	22.09385
193	all	100
193	spiders	35.05132
193	house	22.09385
194	all	100
194	spider	20.48056
195	all	100
196	all	100
196	worth	7.541865
197	all	100
197	money	19.13338
197	save	16.72321
198	all	100
198	money	19.13338
199	all	100
199	refund	10.52225
199	money	19.13338
200	all	100
200	waste	23.22812
200	money	19.13338
200	dont	12.45504
201	all	100
201	waste of money	68.70736
202	all	100
202	money back	55.17276
203	all	100
203	waste your money	61.56138
204	all	100
204	save your money	70.24348
205	all	100
205	wasted	12.11117
205	spent	10.08411
205	money	19.13338
206	all	100
206	waste	23.22812
206	money	19.13338
207	all	100
207	wasted	12.11117
207	money	19.13338
208	all	100
208	waste of money	68.70736
208	total	10.59515
209	all	100
209	waste of money	68.70736
209	reviews	7.797231
210	all	100
210	waste your money	61.56138
211	all	100
211	waste your money	61.56138
212	all	100
212	waste your money	61.56138
213	all	100
213	waste of money	68.70736
213	dont	12.45504
214	all	100
214	save your money	70.24348
215	all	100
215	waste your money	61.56138
215	horrible	10.67126
216	all	100
216	waste your money	61.56138
217	all	100
217	waste of money	68.70736
217	horrible	10.67126
218	all	100
218	waste of money	68.70736
218	total	10.59515
219	all	100
219	waste of money	68.70736
220	all	100
220	waste of money	68.70736
221	all	100
221	worth	7.541865
221	money	19.13338
222	all	100
222	waste of money	68.70736
223	all	100
223	waste of money	68.70736
224	all	100
224	waste of money	68.70736
225	all	100
225	waste of money	68.70736
225	annoying	9.879193
225	sound	7.148699
225	make	6.785005
226	all	100
226	refund	10.52225
226	money	19.13338
227	all	100
227	return	16.51313
227	mice	37.11735
228	all	100
228	return	16.51313
229	all	100
229	money back	55.17276
230	all	100
230	money back	55.17276
231	all	100
231	return	16.51313
232	all	100
232	return	16.51313
233	all	100
233	money back	55.17276
233	return	16.51313
233	days	9.489481
233	30	8.945242
234	all	100
234	refund	10.52225
235	all	100
235	returning	14.45885
236	all	100
236	returned	9.408527
237	all	100
237	return	16.51313
238	all	100
