User_Id	Pos	Neg	Nut	Total
amzn1.account.AFO54EKY4NCU7WXAVM4MAZQFFROQ	0.9926219	0.0005573353	0.006820751	6
amzn1.account.AFIARUWXGYEVO6XVOJ6MJGKHDLLA	0.993457	0.0001573025	0.006385677	2
amzn1.account.AH4WHA4RYFLB7B7JXX6DTJ2PYB5A	0.7134421	0.02551588	0.2610421	2
amzn1.account.AH3E4YLJPKUJOCAWVJXUKIHOFDPQ	0.351001	0.3396807	0.3093183	19
amzn1.account.AFYZQXDBOOPFI6DJ2ZFRXKNQ45DA	0.9372565	0.003740314	0.05900319	3
amzn1.account.AF6LLAURAKV3HA6YTNZON3OPPQNA	0.8444616	0.04299492	0.1125436	8
amzn1.account.AGJK65UL7A6VQ574WQFOWW6BKPLA	0.4695441	0.2865853	0.2438706	9
amzn1.account.AEHGTFYEM5YSOBSGLSDDH73NMZUA	0.7179016	0.156785	0.1253134	17
amzn1.account.AFKPNOS4CZTZR3Y77UCYHPHTLIAQ	0.4576196	0.07404883	0.4683317	5
amzn1.account.AHPCVK6PZIM2BGG73XQZ3FR5BJFA	0.01200925	0.03494864	0.9530421	1
amzn1.account.AGURXUED6SKJ4DIJT3CXNWPXTJYA	0.5253577	0.1411113	0.3335309	8
amzn1.account.AHUY7D6Y2ZMM4RCOEMY3K6PFTGEA	0.661171	0.1845752	0.1542537	12
amzn1.account.AGD5WWCZWQGZJPRIK7BMJPE2Q7WQ	0.1590917	0.6229494	0.2179589	11
amzn1.account.AGINOKUWWEHPKSX64QCUUSE7FV5A	0.7482828	0.2239087	0.02780864	2
amzn1.account.AELYC66WIFVLKRSSWV5J52HAN2VA	0.6003113	0.2244277	0.1752609	17
amzn1.account.AEGUT7AXDVD3SGU26YUFPY5234KA	0.3847751	0.08649699	0.5287279	3
amzn1.account.AGHJNSX5CTZV6LGGAV7ODPXDIK4Q	0.6538684	0.1493751	0.1967565	6
amzn1.account.AGZVHDYBAFHYPI6A34347J47KKVA	0.998672	1.767034E-05	0.0013104	2
amzn1.account.AFM4MGT3QBU3GCIKJIC2VSBTNLJA	0.9948432	0.0002159849	0.004940845	3
amzn1.account.AE3AL6VUMKKGIMC3WHOXVGSIQWXQ	0.8617032	0.1027021	0.03559485	4
amzn1.account.AE2AUBVYWCJGUCNCFX5RPFM2DWFQ	0.8978397	0.03893655	0.06322383	9
amzn1.account.AEETAKUZJX376RQBXVWBMV5F4TFQ	0.9957166	0.001082333	0.003201077	2
amzn1.account.AGIW2DEJWZCXWXIRH2I3DV6RL5NA	0.5018272	0.1748557	0.3233171	4
amzn1.account.AEHCXAC65WMN7HKEKOP6DIPE6GXA	0.02303865	0.8213546	0.1556067	3
amzn1.account.AEK2TOT6JSECL7WILRYK4JUWXIXA	0.9940223	0.0005542519	0.005423411	1
amzn1.account.AEKRFEQDS3FFPPVPLL3SD6HLMX3Q	0.9993073	3.195207E-06	0.0006895935	1
amzn1.account.AGFN57BW7GNCTUUGP3J7JDD2Y2DQ	0.2236347	0.0786944	0.6976709	1
amzn1.account.AFV5A7HBHFLRKRGG25QLRG7PZNCQ	0.7861867	0.06189775	0.1519156	2
amzn1.account.AEDDQXGCQCT2S5GPWM6NSP2TQNWQ	0.544465	0.06289563	0.3926393	2
amzn1.account.AEZPGLW2BMRN4AA37D4JKMLEIX5Q	0.7405232	0.2015288	0.057948	5
amzn1.account.AGVAQY26SMU7MSSSQQWV2QL3BMFA	0.03765164	0.9195793	0.04276911	1
amzn1.account.AF5SKTRIQY6OISO747ERK67NMUXA	0.578562	0.3109446	0.1104935	3
amzn1.account.AHQYH54XYFUKMFYGNRAR5TWNSJKA	0.6695815	0.215364	0.1150544	4
amzn1.account.AGDY4LKPTENY45RYACWOZA4D4HMA	0.68059	0.248797	0.07061294	3
amzn1.account.AHBPLKXC4HHCRMGEYE6JMQ7YB5TQ	0.009637049	0.9731326	0.01723043	1
amzn1.account.AGNU47MQGV5AHMQ44IXI2SCR3TDQ	0.008567317	0.8878599	0.1035728	3
amzn1.account.AGE2ZJ37ACIBTADXFXMRZZ3UPTCA	0.993322	0.0008907177	0.005787285	2
amzn1.account.AHLUWAR5DXGZ3LGBOEAWJ4GAQQCQ	0.847033	0.01726976	0.1356973	4
amzn1.account.AGGTPHEBJ6F3HSXPOT7NJIUQHAKQ	0.8018107	0.08328274	0.1149064	5
amzn1.account.AGNJWD452KECEPBETG27PKGW7EIA	0.9970193	0.0003234917	0.002657208	1
amzn1.account.AFQBSYLSZF7SMMJXQ3HQCUVWUDEA	0.8391076	0.002891728	0.1580007	9
amzn1.account.AH7ZSNH4LT5NDOPMMCAAAI7C3VIA	0.9737674	0.002918419	0.02331415	5
