Uid	Term	Term_Score
0	all	100
0	google	17.24154
1	all	100
1	samsung	18.72512
1	android	18.26141
2	all	100
3	all	100
4	all	100
4	android	18.26141
5	all	100
5	android	18.26141
6	all	100
7	all	100
7	contacts	13.00289
7	app	12.21773
8	all	100
8	samsung	18.72512
9	all	100
9	android	18.26141
10	all	100
10	samsung	18.72512
10	voice	10.28256
10	bixby	28.04815
10	use	4.468312
11	all	100
11	android	18.26141
12	all	100
12	android	18.26141
13	all	100
14	all	100
14	android	18.26141
15	all	100
15	samsung	18.72512
16	all	100
16	samsung	18.72512
16	except	10.03064
16	owned	9.51002
17	all	100
17	speed	8.560968
17	good	4.059989
17	fast	8.592442
17	apps	18.00425
18	all	100
18	samsung	18.72512
19	all	100
19	notifications	12.4335
19	app	12.21773
20	all	100
20	samsung	18.72512
21	all	100
21	launcher	21.19898
21	download	14.07889
21	google	17.24154
22	all	100
22	samsung	18.72512
22	button	10.04709
22	bixby	28.04815
23	all	100
23	android	18.26141
24	all	100
25	all	100
25	app	12.21773
25	s9	21.55254
26	all	100
27	all	100
27	launcher	21.19898
27	disabled	16.92256
27	samsung	18.72512
27	android	18.26141
27	google	17.24154
27	apps	18.00425
28	all	100
28	support	8.004164
29	all	100
29	disabled	16.92256
29	samsung	18.72512
29	bixby	28.04815
30	all	100
30	apps	18.00425
31	all	100
31	notifications	12.4335
31	bixby	28.04815
31	app	12.21773
32	all	100
32	samsung	18.72512
33	all	100
33	great battery life	79.12768
33	beautiful	15.73098
33	screen	14.1417
34	all	100
34	screen	14.1417
35	all	100
35	screen	14.1417
36	all	100
36	beautiful	15.73098
36	screen	14.1417
37	all	100
37	screen	14.1417
37	camera	11.73471
38	all	100
38	beautiful	15.73098
39	all	100
39	beautiful	15.73098
39	screen	14.1417
39	curved	12.65108
39	edge	12.66614
40	all	100
40	display	15.2537
40	colour	14.50218
41	all	100
41	colours	15.95389
41	screen	14.1417
42	all	100
42	screen	14.1417
43	all	100
43	display	15.2537
43	colour	14.50218
44	all	100
44	watching	14.1178
44	youtube	13.03785
44	display	15.2537
44	screen	14.1417
44	movies	12.03884
44	blacks	15.15061
44	nice	5.701327
44	deep	11.11118
44	9	9.966041
45	all	100
45	screen	14.1417
46	all	100
46	display	15.2537
47	all	100
47	battery life	67.8136
47	improvement	11.17915
47	screen	14.1417
48	all	100
48	display	15.2537
49	all	100
49	screen	14.1417
49	using	6.019728
50	all	100
51	all	100
51	screen	14.1417
52	all	100
52	screen	14.1417
53	all	100
53	vibrant	16.1976
53	screen	14.1417
53	colors	9.447304
53	blacks	15.15061
53	deep	11.11118
54	all	100
55	all	100
55	screen	14.1417
55	curved	12.65108
56	all	100
56	screen	14.1417
56	edge	12.66614
56	area	9.460034
57	all	100
57	great battery life	79.12768
57	beautiful	15.73098
57	screen	14.1417
58	all	100
58	great battery life	79.12768
59	all	100
59	great battery life	79.12768
60	all	100
60	battery	16.52668
60	life	18.08701
61	all	100
61	battery	16.52668
61	lasts	10.51886
62	all	100
62	removable	12.65973
62	battery	16.52668
63	all	100
63	battery	16.52668
63	life	18.08701
64	all	100
64	battery	16.52668
64	life	18.08701
64	die	12.45635
64	day	10.06899
65	all	100
65	battery	16.52668
65	life	18.08701
65	9	9.966041
66	all	100
66	battery	16.52668
66	life	18.08701
66	day	10.06899
67	all	100
67	battery	16.52668
67	life	18.08701
68	all	100
68	battery	16.52668
68	lasts	10.51886
68	day	10.06899
69	all	100
69	battery	16.52668
69	life	18.08701
70	all	100
70	charge	7.067852
71	all	100
71	battery	16.52668
72	all	100
72	battery	16.52668
72	dead	10.15288
73	all	100
73	battery	16.52668
73	die	12.45635
