Uid	User_Id	Feature	Comment	Sentiment	Pos	Neg	Nut
0	amzn1.account.AFHV4HRLNDQPEVF7LSMHRUWOGMFQ	Storage	"Good memory card"	Positive	0.95192	0.009535304	0.03854461
1	amzn1.account.AHKZJEWLFOAHLMKLT6JMBALTOIFQ	Storage	"Came quickly and no issues thus far with the memory card."	Positive	0.9807469	0.01094925	0.008303811
2	amzn1.account.AFH4ZCPV7MO2UGARNIF6RCSUSXFQ	Storage	"This was a gift for a friend and they tell me the SD card works well."	Positive	0.9804614	0.001376152	0.01816255
3	amzn1.account.AF3HVM7QBQIWEHXSQVKTJH6ILT7Q	Storage	"Amazing memory for my dash cam"	Positive	0.9915301	0.0002143241	0.008255612
4	amzn1.account.AHPHJ4L3RBHUEE36VP5UNW76IZFQ	Storage	"dependable,reliable sd card"	Neutral	0.4009333	0.0107175	0.5883492
5	amzn1.account.AGX3HTY6SIVJVKX4OEUB7L7RBLCA	Storage	"Fully satisfied with this memory card."	Positive	0.9890906	0.0005643786	0.01034493
6	amzn1.account.AHU6DACD7I77LEL2FAOARLD3EKTA	Storage	"These new A1 microsd card are amazing, thanks to SanDisk we get lots of storage and reasonable price."	Positive	0.997727	5.132009E-05	0.002221753
7	amzn1.account.AH7AOBBYS6YRU7YVTTKT2MFA4NGA	Storage	"With a SurfaceBook, even with 1TB, this 400 GB card is very usefull"	Neutral	0.4613159	0.03889619	0.4997879
8	amzn1.account.AGOWBGUXAHCKLNGW5GFBYLBGD6VA	Storage	"Owning a great golf course gives great power, so does micro Sd card ."	Positive	0.8714901	0.005439896	0.12307
9	amzn1.account.AH33CPF6PAO753ES44VHGB5AIF6Q	Storage	"Good enough speeds for a micro sd"	Positive	0.9553975	0.002865534	0.04173694
10	amzn1.account.AER2V6KWQEJZZU7GOCXAJC7JU4SA	Storage	"Great SD card for additional memory on compatible phones."	Positive	0.9945868	0.0002516716	0.005161452
11	amzn1.account.AF7EHG7JS2WY4XXS4YEIMOAIQUQA	Storage	"SanDisk, a manufacturer of high quality memory cards, that you can depend on."	Neutral	0.4572381	0.0751184	0.4676436
12	amzn1.account.AHAZ2TSD3ICBXORYWKFUEYL46OSA	Storage	"I decided to get a known and trusted brand of memory card this time and boy, am I ever glad I did."	Positive	0.7555044	0.01517045	0.2293252
13	amzn1.account.AHX3TBVMZEN47T2FTXPMW33R7I5Q	Storage	"Excellent microsd card from brand you can trust."	Positive	0.9917939	0.0003401418	0.007865924
14	amzn1.account.AG66NN3W6UY5UKLPUJEBRZHW4N5Q	Storage	"One of the best SD cards you can get."	Positive	0.982052	0.001355758	0.01659217
15	amzn1.account.AGBX3A7HIBXLV6X6XMFCYHORJZYA	Storage	"Used the 400 GB MicroSD for a Nintendo Switch console and it works brilliantly!"	Positive	0.9928411	0.0011473	0.006011543
16	amzn1.account.AFBTQO2QEHTGXTDQ7VBCEIRX755Q	Storage	"Needed an SD card for my phone and this worked well and seems to be good quality so far no issues or complaints."	Positive	0.9984443	4.430784E-05	0.001511449
17	amzn1.account.AEOLT2PMSXDHIFKODSJNOWWOQ5WQ	Storage	"The MicroSD card works perfectly"	Positive	0.9806026	0.00195893	0.01743845
18	amzn1.account.AFBKVFI7N7FYM67DFHXDW76IC7BQ	Storage	"I needed a basic memory card and this does the trick!"	Positive	0.9416394	0.002635594	0.05572493
19	amzn1.account.AEN53D7EBVXLQAALCSLRE4HUBJHQ	Storage	"Got this micro SD to boost storage on a tablet."	Positive	0.5950989	0.03439267	0.3705085
20	amzn1.account.AHMMODDTPKYYPSPLZJXE4RT66NUA	Storage	"What can i say it's a memory card"	Neutral	0.2726317	0.1686141	0.5587543
21	amzn1.account.AFRR2NM6LB7YMWFV722QH2ZHDKAQ	Storage	"Fastest memory card I could find that works with my go pro"	Positive	0.659892	0.01195881	0.3281491
22	amzn1.account.AEUVXVGSYHLPNVGBIQQCCZS2BROQ	Storage	"Great 128gb mini sd card!"	Positive	0.9522042	0.0004299499	0.04736578
23	amzn1.account.AGG5GPXS732LVHRWPP3IEDQRXZ5A	Storage	"An economic Micro sd for devices that need portable storage."	Neutral	0.2661768	0.03984598	0.6939772
24	amzn1.account.AFWFAJTQUDLLQLSMROQFGOJMBZHA	Storage	"With a name like SanDisk, you can't go wrong when it comes to Memory Cards."	Positive	0.8658728	0.06446642	0.0696608
25	amzn1.account.AEEYSVV46JESNZGHYMY56MNO6GUQ	Storage	"You can't go wrong with any Sandisk memory product"	Positive	0.8499091	0.09588257	0.05420823
26	amzn1.account.AFPZP6DCX65VV2RTLIQ5OMGLI5JA	Storage	"I bought this SD card to expand memory for a Nintendo Switch."	Neutral	0.03377666	0.02387195	0.9423513
27	amzn1.account.AHUBE3JD24EFA5EMNLUL26JP7QYQ	Storage	"Very happy with my 200gb sd card."	Positive	0.9970013	9.42383E-05	0.002904336
28	amzn1.account.AFYQIHCYQ4SJG632NIQR5GH4KQPA	Storage	"Very good 200gb microsd card."	Positive	0.989719	0.0004819806	0.009799019
29	amzn1.account.AGVYEJUWW2N4OJGVGLEKCB3JO33Q	Storage	"sandisk micro sd card what do you want me to say more ."	Positive	0.5180964	0.01485999	0.4670435
30	amzn1.account.AGC6TXYNRFRWAPH4QZ6I5EPTVOFA	Storage	"The large capacity of this micro SD card allowed for me to install my entire game library on one card, with lots of room for new games."	Positive	0.6219456	0.005195681	0.3728587
31	amzn1.account.AFHTF3OF7J3YU3H6C4SZFVLFGMOA	Storage	"It’s SD card it work, let see after 1 year 3 year if it still works?"	Neutral	0.2564541	0.1009184	0.6426274
32	amzn1.account.AEZ26UZENDAZ67CZSZWMNXACFM4A	Storage	"Just needed a bigger micro SD card for storage of 4k hdr pictures and videos."	Neutral	0.1327307	0.08588872	0.7813805
33	amzn1.account.AEVAGJXQR6DGKOPDKGUUTJ4HZCJA	Storage	"Bought this Micro sd card for my switch and works perfect without any other instructions just put it in."	Positive	0.9814057	0.002466499	0.01612782
34	amzn1.account.AEWO7OJFH2GHX2YA3IWKDBIDOYXA	Storage	"Just another SD card that works flawlessly in my tablet."	Positive	0.967268	0.00706068	0.02567117
35	amzn1.account.AGXJOZA6GFDOQ2ZELSLXXX5FGHWQ	Storage	"Transferring my data on to the sd card was pretty fast and it was the cheapest 128gb sd card on amazon as far as I saw."	Positive	0.837733	0.03507115	0.1271958
36	amzn1.account.AHMMODDTPKYYPSPLZJXE4RT66NUA	Storage	"Durability I mean I didn't try to break it but it's as durable as any other memory card lol"	Positive	0.9264291	0.004360793	0.0692101
37	amzn1.account.AHSBOJZVX2WQHGHOKB2I4JDUBVYQ	Storage	"Works, it’s a memory card"	Positive	0.610963	0.02806164	0.3609754
38	amzn1.account.AEAWVMOOPFWIF7IIDM3RTRISAWKQ	Storage	"My tablet uses the 64GB card with NO problem!"	Positive	0.9098262	0.009146777	0.081027
39	amzn1.account.AFWFAJTQUDLLQLSMROQFGOJMBZHA	Storage	"Make sure to buy your SD cards directly from a Amazon warehouse (1st Party)"	Neutral	0.1125209	0.008942347	0.8785369
40	amzn1.account.AFI4I7YTIHWAGS7FED2ZWTKG4MYQ	Storage	"without it failing get this Sandisk card"	Negative	0.03028597	0.9035713	0.06614269
41	amzn1.account.AEI5JISOFIMDJS5KNV5BP3HNLN2Q	Storage	"Just an sd card but works great"	Positive	0.854887	0.003036696	0.1420762
42	amzn1.account.AGCBQH2ALZXQR6GIAKSV2TC7QHHQ	Storage	"It's an SD card that works as it should."	Positive	0.9227785	0.005750299	0.07147107
43	amzn1.account.AFJLNRCTTP4YQX2XTG4FAAYDMPOA	Storage	"it sure is a 128 GB micro sd card"	Neutral	0.1121583	0.02284993	0.8649917
44	amzn1.account.AH5DCKYCBYPKUXZUW4CLCN4RZSJQ	Storage	"I purchased two 128GB of these Micro SD cards."	Neutral	0.1236504	0.02533998	0.8510095
45	amzn1.account.AE4LF4F7PPZTODMJLHV4SJZOPRYA	Storage	"I got this microSD card for expanded storage for my tablet."	Neutral	0.1375176	0.01726824	0.8452142
46	amzn1.account.AG6ILU2AOYSOKORHN7PT6W2AXA2A	Storage	"I got a new phone and this micro SD card seemed like good value."	Positive	0.9736297	0.009339675	0.01703061
47	amzn1.account.AFDT7X5K2PPOFUKY76DEWCG7XOOQ	Storage	"A lot of people received fake SD cards out there, so I'm lucky I got a genuine one."	Positive	0.5148083	0.1690084	0.3161832
48	amzn1.account.AFDGGJLJMC7TR2CAZTIOIBKWYMCQ	Storage	"As expected , not much to say its a sd card"	Neutral	0.1354807	0.4170768	0.4474425
49	amzn1.account.AHRAHT3MCGVUQV6RXDQUGINTC2SQ	Storage	"Memory card , what needs to be said"	Neutral	0.02084719	0.2031358	0.776017
50	amzn1.account.AHP5D5XIKDOCK7KLVNX5RWTR6SUQ	Storage	"Sandisk is one of the top micro sd brands."	Positive	0.9187652	0.01186311	0.06937164
51	amzn1.account.AE4LF4F7PPZTODMJLHV4SJZOPRYA	Storage	"An sd card adapter also came in the packaging which is always helpful but in this case, I did not need it."	Positive	0.7963806	0.0164595	0.1871599
52	amzn1.account.AGC6TXYNRFRWAPH4QZ6I5EPTVOFA	Storage	"Previously I had been using a 16gb micro SD card, which was barely enough to store 2 big games."	Negative	0.159291	0.50062	0.340089
53	amzn1.account.AGTG7QMSKJ7U7U5RCIHADTDMCGVA	Storage	"Make sure to format the SD Card from DashCam and everything should work."	Negative	0.3305865	0.3561473	0.3132662
54	amzn1.account.AHDEZ7FIYGUQJKD7RBHD4K6SRA4A	Storage	"I bought 2 SD card which 256GB."	Neutral	0.05463776	0.02309203	0.9222701
55	amzn1.account.AE4AJDMJ24E2NEZQE4I2ZHB27UMA	Storage	"Ordered a new 16 GB card, got a used 128 GB card in a Ziploc sandwich bag and no original packaging."	Neutral	0.06906278	0.2228762	0.7080609
56	amzn1.account.AEAWVMOOPFWIF7IIDM3RTRISAWKQ	Storage	"Used Guiformat to get Fat32 on card to use in a tablet that says it can only use a 32GB card."	Neutral	0.02873731	0.04890256	0.9223602
57	amzn1.account.AE57RI45UEIT2L5CKUFFSUZLQW5Q	Storage	"Replaced no name that failed after a year with this sd card."	Negative	0.1244827	0.6097402	0.2657771
58	amzn1.account.AGTG7QMSKJ7U7U5RCIHADTDMCGVA	Storage	"I was getting “Pls Insert SD Card” even before I format it from my Computer."	Neutral	0.158162	0.0221259	0.819712
59	amzn1.account.AFWFAJTQUDLLQLSMROQFGOJMBZHA	Storage	"I know there's a whole wack of fake SD Cards on the net here (even affecting Amazon themselves)."	Negative	0.01042438	0.8913147	0.0982609
60	amzn1.account.AHJ5FCUFQK47RDY3Y62RSJLK7GQQ	Storage	"I have bought cheap micro sd card in past and they have a been fake and I was unable to use them in my phone or even tablet."	Negative	0.05574549	0.6377808	0.3064737
