Uid	Term	Term_Score
0	all	100
0	memory	21.58765
0	card	22.99905
1	all	100
1	memory	21.58765
1	card	22.99905
2	all	100
2	card	22.99905
2	sd	27.86247
3	all	100
3	memory	21.58765
4	all	100
4	card	22.99905
4	sd	27.86247
5	all	100
5	memory	21.58765
5	card	22.99905
6	all	100
6	storage	23.09132
6	sandisk	22.48524
6	microsd	23.63067
6	card	22.99905
7	all	100
7	card	22.99905
7	gb	26.5489
8	all	100
8	micro sd card	76.53806
9	all	100
9	micro sd	43.22889
10	all	100
10	memory	21.58765
10	card	22.99905
10	sd	27.86247
11	all	100
11	sandisk	22.48524
11	memory	21.58765
11	cards	19.02966
12	all	100
12	memory card	40.70071
13	all	100
13	microsd	23.63067
13	card	22.99905
14	all	100
14	cards	19.02966
14	sd	27.86247
15	all	100
15	nintendo switch	78.24959
15	microsd	23.63067
15	gb	26.5489
16	all	100
16	card	22.99905
16	sd	27.86247
17	all	100
17	microsd	23.63067
17	card	22.99905
18	all	100
18	memory card	40.70071
19	all	100
19	micro sd	43.22889
19	storage	23.09132
20	all	100
20	memory card	40.70071
21	all	100
21	memory	21.58765
21	card	22.99905
22	all	100
22	128gb	19.22046
22	card	22.99905
22	sd	27.86247
23	all	100
23	micro sd	43.22889
23	storage	23.09132
24	all	100
24	sandisk	22.48524
24	memory	21.58765
24	cards	19.02966
25	all	100
25	sandisk	22.48524
25	memory	21.58765
26	all	100
26	memory	21.58765
26	card	22.99905
26	sd	27.86247
27	all	100
27	200gb	23.00718
27	card	22.99905
27	sd	27.86247
28	all	100
28	microsd	23.63067
28	200gb	23.00718
28	card	22.99905
29	all	100
29	micro sd card	76.53806
29	sandisk	22.48524
30	all	100
30	micro sd card	76.53806
31	all	100
31	card	22.99905
31	sd	27.86247
32	all	100
32	micro sd card	76.53806
33	all	100
33	micro sd card	76.53806
34	all	100
34	card	22.99905
34	sd	27.86247
35	all	100
35	128gb	19.22046
35	card	22.99905
35	sd	27.86247
36	all	100
36	memory	21.58765
36	card	22.99905
37	all	100
37	memory card	40.70071
38	all	100
38	card	22.99905
39	all	100
39	cards	19.02966
39	sd	27.86247
40	all	100
40	sandisk	22.48524
40	card	22.99905
41	all	100
41	card	22.99905
41	sd	27.86247
42	all	100
42	card	22.99905
42	sd	27.86247
43	all	100
43	micro sd card	76.53806
43	gb	16.58133
44	all	100
44	micro sd	43.22889
44	cards	19.02966
44	128gb	19.22046
45	all	100
45	microsd	23.63067
45	card	22.99905
46	all	100
46	micro sd card	76.53806
47	all	100
47	cards	19.02966
47	sd	27.86247
48	all	100
48	card	22.99905
48	sd	27.86247
49	all	100
49	memory	21.58765
49	card	22.99905
50	all	100
50	micro sd	43.22889
50	sandisk	22.48524
51	all	100
51	card	22.99905
51	sd	27.86247
52	all	100
52	micro sd card	76.53806
53	all	100
53	card	22.99905
53	sd	27.86247
54	all	100
54	card	22.99905
54	sd	27.86247
55	all	100
55	128 gb	52.39996
55	card	22.99905
56	all	100
56	card	22.99905
57	all	100
57	card	22.99905
57	sd	27.86247
58	all	100
58	card	22.99905
58	sd	27.86247
59	all	100
59	cards	19.02966
59	sd	27.86247
60	all	100
60	micro sd card	76.53806
61	all	100
61	microsd	23.63067
61	card	22.99905
62	all	100
62	memory	21.58765
63	all	100
63	card	22.99905
63	sd	27.86247
64	all	100
64	sandisk	22.48524
64	card	22.99905
64	sd	27.86247
65	all	100
65	cards	19.02966
65	card	22.99905
65	sd	27.86247
66	all	100
66	200gb	23.00718
66	card	22.99905
66	sd	27.86247
67	all	100
67	128gb	19.22046
67	card	22.99905
67	2mb	18.56205
68	all	100
68	micro sd	43.22889
68	error	13.15242
69	all	100
69	sandisk	22.48524
69	card	22.99905
69	sd	27.86247
70	all	100
70	card	22.99905
70	sd	27.86247
71	all	100
71	great price	52.80638
71	storage	23.09132
72	all	100
72	great price	52.80638
72	gb	26.5489
73	all	100
73	works	7.066489
74	all	100
74	reasonable	10.2149
74	sandisk	18.4742
74	price	13.6466
75	all	100
75	nintendo switch	78.24959
75	128 gb	52.39996
76	all	100
76	great price	52.80638
76	storage	23.09132
77	all	100
77	storage	23.09132
77	works	4.585127
78	all	100
78	memory	21.58765
79	all	100
79	storage	23.09132
79	200gb	18.56205
80	all	100
80	storage	23.09132
80	sandisk	22.48524
80	microsd	23.63067
80	card	22.99905
81	all	100
81	storage	23.09132
82	all	100
82	card	22.99905
82	gb	26.5489
83	all	100
83	memory card	40.70071
84	all	100
84	storage space	40.70071
85	all	100
85	memory	21.01842
85	366	19.73564
85	gb	26.5489
86	all	100
86	memory	21.01842
87	all	100
87	nintendo switch	78.24959
87	microsd	23.63067
87	gb	26.5489
88	all	100
88	memory card	40.70071
89	all	100
89	micro sd	43.22889
89	storage	23.09132
90	all	100
91	all	100
91	sandisk	18.4742
91	memory	21.01842
92	all	100
92	memory card	40.70071
93	all	100
93	memory	21.01842
94	all	100
94	storage	23.09132
95	all	100
95	gb	26.5489
96	all	100
96	storage	23.09132
97	all	100
97	micro sd	43.22889
97	storage	23.09132
98	all	100
98	sandisk	22.48524
98	memory	21.58765
99	all	100
99	nintendo switch	78.24959
99	storage	23.09132
100	all	100
100	nintendo switch	78.24959
100	memory	21.01842
101	all	100
102	all	100
102	storage	23.09132
102	gb	26.5489
103	all	100
103	space	14.55885
103	size	7.398118
104	all	100
104	memory	21.01842
105	all	100
105	storage	23.09132
106	all	100
106	memory card	40.70071
107	all	100
107	sandisk	18.4742
108	all	100
108	gb	26.5489
109	all	100
109	storage	23.09132
110	all	100
110	memory	21.01842
111	all	100
111	gb	26.5489
112	all	100
113	all	100
113	memory	21.01842
114	all	100
114	storage	23.09132
114	sandisk	18.4742
115	all	100
115	storage	23.09132
116	all	100
116	card	17.04771
116	gb	26.5489
117	all	100
117	storage space	40.70071
118	all	100
118	gb	26.5489
119	all	100
119	storage	23.09132
120	all	100
120	200 gb	52.39996
120	card	17.04771
121	all	100
121	format	17.94049
121	card	17.04771
122	all	100
122	storage space	40.70071
122	card	17.04771
122	gb	26.5489
123	all	100
123	128 gb	52.39996
124	all	100
124	128 gb	52.39996
124	card	22.99905
125	all	100
126	all	100
126	storage	23.09132
126	200gb	18.56205
126	size	7.398118
127	all	100
127	200 gb	52.39996
128	all	100
128	memory	21.58765
129	all	100
129	gb	26.5489
130	all	100
130	memory	21.01842
131	all	100
131	storage	23.09132
132	all	100
132	128gb	19.22046
132	card	22.99905
132	2mb	18.56205
133	all	100
134	all	100
134	worked fine	46.10498
134	phone	10.30403
135	all	100
135	reliable	15.22558
136	all	100
136	working	15.44628
137	all	100
138	all	100
138	working	15.44628
139	all	100
140	all	100
140	working	15.44628
140	dashcam	18.00723
141	all	100
141	working fine	43.10938
142	all	100
142	sandisk	22.48524
142	wrong	8.901713
142	go	6.690037
143	all	100
143	months	16.53158
144	all	100
145	all	100
145	sandisk	22.48524
145	always	10.76424
145	years	7.193328
145	using	6.019728
146	all	100
146	months	16.53158
147	all	100
148	all	100
148	working	15.44628
149	all	100
150	all	100
151	all	100
151	card	15.94645
152	all	100
152	card	15.94645
153	all	100
153	working fine	43.10938
153	months	16.53158
154	all	100
154	months	16.53158
155	all	100
156	all	100
156	products	8.483743
156	sandisk	22.48524
156	years	7.193328
156	using	6.019728
157	all	100
158	all	100
158	working	15.44628
159	all	100
159	working	15.44628
160	all	100
161	all	100
161	dashcam	18.00723
162	all	100
162	months	16.53158
163	all	100
163	sandisk	21.15732
164	all	100
164	working	15.44628
165	all	100
165	working fine	43.10938
166	all	100
166	months	16.53158
166	card	15.94645
167	all	100
167	worked fine	46.10498
167	card	15.94645
168	all	100
168	months	16.53158
169	all	100
169	errors	17.65568
170	all	100
171	all	100
172	all	100
172	card	15.94645
173	all	100
173	months	16.53158
174	all	100
175	all	100
175	faulty	15.05857
175	card	15.94645
176	all	100
176	stopped working	50.47903
176	months	16.53158
177	all	100
177	stopped working	50.47903
177	months	16.53158
177	card	15.94645
178	all	100
178	stopped working	50.47903
178	dashcam	18.00723
179	all	100
179	worked fine	46.10498
179	errors	17.65568
179	error	13.15242
179	card	15.94645
180	all	100
180	stopped working	50.47903
181	all	100
181	months	16.53158
182	all	100
182	devices	10.18253
182	used	9.675501
183	all	100
183	corrupt	15.7279
183	seller	15.22994
184	all	100
184	months	16.53158
184	got	6.158969
185	all	100
185	error	13.15242
186	all	100
186	card	15.94645
187	all	100
188	all	100
188	months	16.53158
189	all	100
189	formate	20.42216
189	card	15.94645
190	all	100
190	card	15.94645
191	all	100
192	all	100
192	working	15.44628
193	all	100
193	price	13.6466
193	good	8.891516
194	all	100
194	price	13.6466
194	brand	12.6406
194	good	8.891516
195	all	100
195	worth	9.347948
195	cost	10.48721
196	all	100
196	price	13.6466
197	all	100
197	price	13.6466
197	good	8.891516
198	all	100
198	price	13.6466
198	good	8.891516
199	all	100
199	packaging	9.662977
199	product	9.058419
199	value	13.03992
199	price	13.6466
199	good	8.891516
200	all	100
200	price	13.6466
201	all	100
201	product	9.058419
201	price	13.6466
202	all	100
202	price	13.6466
202	good	8.891516
203	all	100
203	reasonable	10.2149
203	sandisk	18.4742
203	price	13.6466
204	all	100
204	value	13.03992
204	price	13.6466
204	good	8.891516
205	all	100
205	price	13.6466
205	good	8.891516
206	all	100
206	price	13.6466
207	all	100
207	product	9.058419
207	price	13.6466
208	all	100
209	all	100
209	price	13.6466
210	all	100
210	value	13.03992
210	money	8.760421
211	all	100
211	price	13.6466
212	all	100
212	price	13.6466
213	all	100
213	reasonable	10.2149
213	price	13.6466
214	all	100
214	product	9.058419
214	price	13.6466
214	good	8.891516
215	all	100
215	sandisk	11.20424
215	price	13.6466
215	good	8.891516
216	all	100
216	price	13.6466
217	all	100
217	product	9.058419
217	price	13.6466
218	all	100
218	price	13.6466
218	good	8.891516
219	all	100
219	value	13.03992
220	all	100
220	price	13.6466
220	good	8.891516
221	all	100
221	product	9.058419
221	worth	9.347948
221	good	8.891516
222	all	100
222	worth	9.347948
222	value	13.03992
223	all	100
223	price	13.6466
223	fair	11.13257
224	all	100
224	price	13.6466
225	all	100
225	price	13.6466
225	good	8.891516
226	all	100
226	money	8.760421
226	cost	10.48721
227	all	100
227	cost	10.48721
228	all	100
228	product	9.058419
228	price	13.6466
229	all	100
229	price	13.6466
230	all	100
230	product	9.058419
230	price	13.6466
231	all	100
